UFI;UNI;LAT;LONG;DMS_LAT;DMS_LONG;DSG;ADM1;ADM2;NT;SORT_NAME;FULL_NAME
-908945;-1344668;-325.666.667;-568.833.333;-323400;-565300;PPL;12;;V;SARANDI;Sarandí
-908948;-1344669;-337.333.333;-563.333.333;-334400;-562000;PPL;7;;V;SARANDI;Sarandí
-908925;-1344933;-320.166.667; -54.2;-320100;-541200;PPL;3;;N;SARANDIDEACEGUA;Sarandí de Aceguá
-908811;-1344934;-324.833.333;-537.166.667;-322900;-534300;PPL;3;;V;SARANDIDEBARCELO;Sarandí de Barceló
-908928;-1344938;-337.166.667;-545.333.333;-334300;-543200;PPL;8;;N;SARANDIDECEBOLLATI;Sarandí de Cebollatí
-908929;-1344939;-308.333.333; -56.75;-305000;-564500;PPL;1;;N;SARANDIDECUARO;Sarandí de Cuaró
-908931;-1344941;-335.333.333; -54.6;-333200;-543600;PPL;8;;N;SARANDIDEGUTIERREZ;Sarandí de Gutiérrez
-908942;-1344958; -33.35;-556.333.333;-332100;-553800;PPL;5;;N;SARANDIDELYI;Sarandí del Yi
-908945;-1344962;-325.666.667;-568.833.333;-323400;-565300;PPL;12;;N;SARANDIDENAVARRO;Sarandí de Navarro
-908948;-1344967;-337.333.333;-563.333.333;-334400;-562000;PPL;7;;N;SARANDIGRANDE;Sarandí Grande
-906644;-1344997; -32.85;-576.833.333;-325100;-574100;PPL;12;;V;SAUCE;Sauce
-908388;-1344999;-336.833.333; -54.65;-334100;-543900;PPL;8;;V;SAUCE;Sauce
-908961;-1344996;-315.166.667;-575.833.333;-313100;-573500;PPL;15;;N;SAUCE;Sauce
-908962;-1344998; -33.2;-567.833.333;-331200;-564700;PPL;5;;N;SAUCE;Sauce
-908963;-1345000;-346.469.444;-560.627.778;-343849;-560346;PPL;2;;N;SAUCE;Sauce
-908322;-1345475;-319.166.667;-560.166.667;-315500;-560100;PPL;18;;V;SAUCEBATOVI;Sauce Batoví
-908404;-1345476;-318.833.333;-573.333.333;-315300;-572000;PPL;11;;V;SAUCEBURICAYUPI;Sauce Buricayupí
-908961;-1345495;-315.166.667;-575.833.333;-313100;-573500;PPL;15;;V;SAUCECHICODELAURELES;Sauce Chico de Laureles
-909198;-1345527;-334.666.667;-556.166.667;-332800;-553700;PPL;7;;N;SAUCEDELYI;Sauce del Yi
-908962;-1345526; -33.2;-567.833.333;-331200;-564700;PPL;5;;V;SAUCEDELYI;Sauce del Yí
-909205;-1345540;-321.166.667;-575.666.667;-320700;-573400;PPL;11;;N;SAUCEDEQUEGUAY;Sauce de Queguay
-908690;-1345542;-328.666.667;-559.166.667;-325200;-555500;PPL;5;;V;SAUCEDESANJORGE;Sauce de San Jorge
-909208;-1345552;-310.833.333;-575.166.667;-310500;-573100;PPL;15;;N;SAUCEDO;Saucedo
-909205;-1345573;-321.166.667;-575.666.667;-320700;-573400;PPL;11;;V;SAUCEQUEGUAY;Sauce Queguay
-909228;-1345583; -32.1;-548.666.667;-320600;-545200;PPL;18;;V;SAUCESOLO;Sauce Solo
-909228;-1345603; -32.1;-548.666.667;-320600;-545200;PPL;18;;N;SAUCESOLODERIONEGRO;Sauce Solo de Río Negro
-908323;-1345605;-318.333.333;-559.333.333;-315000;-555600;PPL;18;;V;SAUCETRANQUERAS;Sauce Tranqueras
-909229;-1345606;-309.333.333; -55.55;-305600;-553300;PPL;13;;N;SAUZAL;Sauzal
-909241;-1345634;-348.333.333;-562.333.333;-345000;-561400;PPL;10;;V;SAVAGO;Savago
-909241;-1345635;-348.333.333;-562.333.333;-345000;-561400;PPL;10;;N;SAYAGO;Sayago
-909244;-1345640;-343.666.667; -57.05;-342200;-570300;PPL;16;;N;SCAVINO;Scavino
-908324;-1345646; -31.5;-551.666.667;-313000;-551000;PPL;13;;V;SEGARRA;Segarra
-909251;-1345660;-310.333.333;-568.833.333;-310200;-565300;PPL;15;;N;SEQUEIRA;Sequeira
-909256;-1345669;-312.333.333;-558.833.333;-311400;-555300;PPL;13;;N;SIERRADELUNAREJO;Sierra de Lunarejo
-909267;-1345683;-346.833.333;-556.833.333;-344100;-554100;PPL;2;;N;SOCA;Soca
-905628;-1345698; -34.8;-553.666.667;-344800;-552200;PPL;9;;V;SOLIS;Solís
-909275;-1345696;-343.333.333; -55.45;-342000;-552700;PPL;8;;N;SOLIS;Solís
-909280;-1345697; -34.6;-554.833.333;-343600;-552900;PPL;8;;V;SOLIS;Solís
-909280;-1345711; -34.6;-554.833.333;-343600;-552900;PPL;8;;N;SOLISDEMATAOJO;Solís de Mataojo
-909280;-1345712; -34.6;-554.833.333;-343600;-552900;PPL;8;;V;SOLISGRANDE;Solís Grande
-909288;-1345728; -33.4;-583.166.667;-332400;-581900;PPL;17;;N;SORIANO;Soriano
-908325;-1345733;-312.333.333;-571.166.667;-311400;-570700;PPL;15;;V;SOSA;Sosa
-909296;-1345744;-310.333.333; -56.6;-310200;-563600;PPL;15;;N;SOTO;Soto
-909297;-1345745;-319.833.333;-541.666.667;-315900;-541000;PPL;3;;N;SOTO;Soto
-909298;-1345746; -32.0;-575.833.333;-320000;-573500;PPL;11;;N;SOTO;Soto
-909441;-1345756;-342.833.333;-576.166.667;-341700;-573700;PPL;4;;V;SUAREZ;Suárez
-907099;-1345757;-347.336.111;-560.366.667;-344401;-560212;PPL;2;;V;SUAREZ;Suárez
-909309;-1345777;-317.333.333;-559.833.333;-314400;-555900;PPL;18;;N;TACUAREMBO;Tacuarembó
-909322;-1345807; -34.35;-557.666.667;-342100;-554600;PPL;2;;N;TALA;Tala
-909415;-1346008;-304.666.667; -56.55;-302800;-563300;PPL;1;;N;TAMANDUA;Tamanduá
-909418;-1346014;-317.833.333; -56.25;-314700;-561500;PPL;18;;N;TAMBORES;Tambores
-909439;-1346071;-345.666.667; -55.7;-343400;-554200;PPL;2;;N;TAPIA;Tapia
-909441;-1346075;-342.833.333;-576.166.667;-341700;-573700;PPL;4;;N;TARARIRAS;Tarariras
-906647;-1346083; -32.0; -57.3;-320000;-571800;PPL;11;;V;TARUGO;Tarugo
-909446;-1346084; -30.5;-566.666.667;-303000;-564000;PPL;1;;N;TARUMAN;Tarumán
-909454;-1346101;-309.666.667;-575.333.333;-305800;-573200;PPL;15;;N;TERMASDELARAPEY;Termas del Arapey
-909460;-1346113; -32.35; -56.55;-322100;-563300;PPL;11;;V;TIATOCURA;Tiatocura
-909460;-1346114; -32.35; -56.55;-322100;-563300;PPL;11;;N;TIATUCURA;Tiatucurá
-909503;-1346207; -32.5;-540.166.667;-323000;-540100;PPL;3;;N;TOLEDO;Toledo
-909504;-1346208;-325.333.333;-545.666.667;-323200;-543400;PPL;10;;N;TOLEDO;Toledo
-909505;-1346209;-347.422.222;-560.983.333;-344432;-560554;PPL;2;;N;TOLEDO;Toledo
-909512;-1346224;-304.333.333;-574.333.333;-302600;-572600;PPL;1;;N;TOMASGOMENSORO;Tomás Gomensoro
-909514;-1346227;-316.833.333;-576.833.333;-314100;-574100;PPL;11;;N;TOMASPAZ;Tomás Paz
-909516;-1346232;-303.166.667;-568.166.667;-301900;-564900;PPL;1;;N;TOPADOR;Topador
-909526;-1346256; -31.35;-566.333.333;-312100;-563800;PPL;15;;N;TORONEGRO;Toro Negro
-905500;-1346289;-322.333.333; -56.5;-321400;-563000;PPL;11;;V;TOTORAL;Totoral
-909540;-1346290;-346.666.667; -56.0;-344000;-560000;PPL;2;;N;TOTORAL;Totoral
-909555;-1346326;-311.666.667; -55.75;-311000;-554500;PPL;13;;N;TRANQUERAS;Tranqueras
-909556;-1346327; -31.2; -55.75;-311200;-554500;PPL;13;;N;TRANQUERAS;Tranqueras
-909562;-1346336;-332.333.333;-543.833.333;-331400;-542300;PPL;19;;N;TREINTAYTRES;Treinta y Tres
-909565;-1346340; -32.4;-567.166.667;-322400;-564300;PPL;12;;N;TRESARBOLES;Tres Árboles
-909570;-1346347;-318.833.333;-574.833.333;-315300;-572900;PPL;11;;N;TRESBOCAS;Tres Bocas
-909571;-1346348;-337.333.333;-578.333.333;-334400;-575000;PPL;12;;N;TRESBOCAS;Tres Bocas
-909575;-1346355; -30.95; -56.65;-305700;-563900;PPL;1;;N;TRESCERROS;Tres Cerros
-909576;-1346356;-313.666.667;-556.666.667;-312200;-554000;PPL;13;;N;TRESCERROS;Tres Cerros
-909587;-1346382;-340.833.333;-573.833.333;-340500;-572300;PPL;4;;N;TRESESQUINAS;Tres Esquinas
-909589;-1346386;-325.166.667;-546.833.333;-323100;-544100;PPL;10;;N;TRESISLAS;Tres Islas
-908474;-1346398;-323.833.333;-546.666.667;-322300;-544000;PPL;3;;V;TRIGO;Trigo
-909595;-1346401;-335.333.333; -56.9;-333200;-565400;PPL;6;;N;TRINIDAD;Trinidad
-909594;-1346400;-335.388.889;-568.886.111;-333220;-565319;PPL;6;;N;TRINIDAD;Trinidad
